KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_O7KfC4q,@q0 @d1\nName is optional. \n@w2\nDepends if this <i><b>Human </b></i><color=#ffffff>makes itself one.</color>,,,,,,,,,,@q0 @d1\n名字是可选的。 \n@w2\n取决于这个<i><b>人类</b></i><color=#ffffff>是否让自己成为一个名字。</color>,,,,,,
dialogue_0CGeK8C,<color=#c0c0c0>The </color><color=#0080ff><b>Captain</b></color>,,,,,,,,,,<color=#0080ff><b>舰长</b></color>,,,,,,
dialogue_qeumKim,"@q0 @d1\nSensors are calm, but I've got a <b>bad feeling</b> about this sector ...\n@w2\n... And <color=#ffffff>Galleon</color> is already exploding things ...!",,,,,,,,,,@q0 @d1\n传感器显示平静，但我对这个星区有<b>不好的预感</b>……\n@w2\n…… 而且加利昂已经在炸东西了……！,,,,,,
dialogue_CKaCSiU,"OK, I will talk to Galleon ... <color=#ffffff>[Skip all]</color>",,,,,,,,,,好，我会和加利昂谈谈……<color=#ffffff>[跳过全部]</color>,,,,,,
dialogue_3ui4We4,Why did you lock the Bunk door?,,,,,,,,,,你为什么锁上舱房门？,,,,,,
dialogue_O0GiWe4,"@q0 @d1 Then get going<i>, </i>Human.\n@w1\n<i><b>Earn </b>your ride.</i>\n@w1<i></i>\n... Your <color=#ffffff>home fleet </color>isn't waiting ...",,,,,,,,,,@q0 @d1 那么，出发吧，<i> </i>人类。\n@w1\n<i><b>赚取</b>你的船票。</i>\n@w1<i></i>\n…… 你的<color=#ffffff>母舰队</color>可不会一直等着……,,,,,,
dialogue_qW4i0i8,@q0 \n@d1 I will surely miss your<i> <b>art</b>...</i>,,,,,,,,,,@q0 \n@d1 我一定会想念你的<i><b>艺术</b>……</i>,,,,,,
dialogue_8AY8mMK,>>,,,,,,,,,,>>,,,,,,
dialogue_m4q88ea,@q0 @d1\nReally impressive.\n@w1\n... Maybe we can get into a <b>future cooperation </b>about this.,,,,,,,,,,@q0 @d1\n真是令人印象深刻。\n@w1\n…… 也许我们可以就此展开<b>未来的合作</b>。,,,,,,
dialogue_8aG4GGW,The fleet... <i>How long</i> did you know about it ?!,,,,,,,,,,舰队…… <i>你</i>知道多久了？！,,,,,,
dialogue_0OeqSq9,@q0 @d1\nNo matter. @w1 Still impressive.\n@w1\n... Maybe we can get into a <b>future cooperation </b>about this.,,,,,,,,,,@q0 @d1\n没关系。 @w1 仍然令人印象深刻。\n@w1\n…… 也许我们可以就此展开<b>未来的合作</b>。,,,,,,
dialogue_8iu4iGi,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_uMuGiqm,@q0 @d1\nYour kind is really hard to track down. \n@w1\nAs if it would be<b> on the run</b> ...?\n@w2\n... Who knows when we can finally <i><color=#ffffff>catch up</color></i> ...,,,,,,,,,,@q0 @d1\n你们这个种族真的很难追踪。 \n@w1\n就好像在<b>逃亡</b>……？\n@w2\n…… 谁知道我们什么时候才能真正<i><color=#ffffff>赶上</color></i>……,,,,,,
dialogue_mKCKO40,Another painting ?,,,,,,,,,,另一幅画？,,,,,,
dialogue_CaiGGKa,@q0 @d1\nJust ... \n@w1 One.\n@w3\n- Now <i>please</i><color=#ffffff> help Galleon</color> ! We have stashed enough explosives to shred a Battlecruiser...,,,,,,,,,,@q0 @d1\n只是…… \n@w1 一幅。\n@w3\n- 现在<i>请</i><color=#ffffff>帮帮加利昂</color>！我们藏了足够的炸药，能把一艘战斗巡洋舰炸成碎片……,,,,,,
dialogue_mEi88ui,"@q0 @d1\nThey are in a system nearby. @w1 \nIt seems, they ran into some <color=#ffffff>Zirax </color>... ?\n@w2\n... Lots of <b><i>explosions </i></b>...",,,,,,,,,,@q0 @d1\n他们在附近的一个星系里。 @w1 \n看起来，他们遇到了一些<color=#ffffff>兹瑞克斯</color>……？\n@w2\n…… 很多<b><i>爆炸</i></b>……,,,,,,
dialogue_GmWKm4G,>>,,,,,,,,,,>>,,,,,,
dialogue_Wi8au4W,"@q0 @d1\nOh, it was locked ... ?",,,,,,,,,,@q0 @d1\n哦，它锁上了……？,,,,,,
dialogue_DuuaWiq,Yes.,,,,,,,,,,是的。,,,,,,
dialogue_SuOWSOq,@q0 @d1\nWe are in <b>dangerous </b>space.,,,,,,,,,,@q0 @d1\n我们在<b>危险</b>的太空里。,,,,,,
dialogue_mKmmOOC,<i>( Just wait and look at him )</i>,,,,,,,,,,<i>( 等着看他 )</i>,,,,,,
dialogue_OC8Smea,@q0 @d1\nIt's for your <b>own wellbeing.</b>,,,,,,,,,,@q0 @d1\n这是为了<b>你好</b>。,,,,,,
dialogue_iKOpWi4,<i>( He seems to be shaking ...? )</i>,,,,,,,,,,<i>( 他似乎在发抖……？ )</i>,,,,,,
dialogue_c4ak8aK,What is it?,,,,,,,,,,怎么了？,,,,,,
dialogue_u0qKmWq,@q0 @d1 Got back to your senses? @w1 Good.\nWe need to move.,,,,,,,,,,@q0 @d1 清醒过来了？ @w1 好。\n我们得走了。,,,,,,
dialogue_Sqom8gi,<color=#c0c0c0>The</color> <color=#0080ff><b>Captain</b></color>,,,,,,,,,,<color=#c0c0c0>船长</color><color=#0080ff><b>船长</b></color>,,,,,,
dialogue_C8eq0Ce,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_meeCqie,@q0 @d1\n- Opening hangar doors.,,,,,,,,,,@q0 @d1\n- 正在打开机库舱门。,,,,,,
dialogue_mmm2g0q,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_eGuuu7m,@q0 @d1 \n... You said you were a<color=#ffffff> soldier pilot </color>?\n@w1\nAre all humans as <b>Creative </b>as you ...?<i></i>,,,,,,,,,,@q0 @d1 \n…… 你说你是<color=#ffffff>士兵飞行员</color>？\n@w1\n所有人类都像你一样<b>有创意</b>吗……？<i></i>,,,,,,
dialogue_OG4G06v,Many are.,,,,,,,,,,很多是。,,,,,,
dialogue_28aauec,Some...,,,,,,,,,,有些……,,,,,,
dialogue_GWGq8a4,All of them. But each one differently.,,,,,,,,,,所有人类。但每个人不同。,,,,,,
dialogue_OCS0K0K,I'm not much Creative.,,,,,,,,,,我不太有创意。,,,,,,
dialogue_i4qGeqi,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_Ci4GC4k,@q0 @d1\n-<color=#ffff00> Armor locker</color> is to your left.,,,,,,,,,,@q0 @d1\n-<color=#ffff00>护甲柜</color>在你的左边。,,,,,,
dialogue_G8mqu8e,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_asqiSm4,Found the leak. - A block is not airtight.,,,,,,,,,,找到漏气了。- 一个方块不密封。,,,,,,
dialogue_CeeOGmq,"I found the leak. - <i>And</i>, your hidden stash.",,,,,,,,,,我找到了漏气的地方。- <i>还有</i>，你藏的东西。,,,,,,
