KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_ea4m7,"\n<color=#00ffee>Emergency situation detected! </color>\n\n@w4 Protocol Salvage001 has been initialized! \n@w4 Welcome {PlayerName} to Star Salvage!!!\n@w2 In order to help you survive in any hostile environment, the <color=#3333e5>United Earth Fleet </color>has provided you with the option to undertake Basic Training, which, once complete, will allow you to specialize in one or more areas of training.",\n<color=#00ffee>Notfall erkannt! </color>\n\n@w4 Protokoll UCH001A wurde initialisiert!,\n<color=#00ffee>Situation d'urgence détectée!</color> \n\n@w4 Le protocole CHU001A a été initialisé!,\n<color=#00ffee>Situazione di emergenza rilevata! </color>\n\n@w4 Protocollo UCH001A avviato!,\n<color=#00ffee>¡Situación de emergencia detectada!</color>\n\n@w4 ¡Protocolo CUH001A inicializado!,,,,\n<color=#00ffee>Обнаружена аварийная ситуация! </color>\n\n@w4 Протокол UCH001A был инициализирован!,\n<color=#00ffee>緊急事態を検知！ </color>\n\n@w4 プロトコル UCH001A が初期化されました！,\n<color=#00ffee>检测到紧急情况！</color>\n\n@w4 协议打捞001已启动！\n@w4 欢迎{PlayerName}来到星际打捞！！！\n@w2 为了帮助你在任何敌对环境中生存，<color=#3333e5>联合地球舰队</color>已为你提供接受基础训练的选择，完成后你将能专精于一个或多个训练领域。,,,,,,
dialogue_traderSplit1,How may I serve you?,,Comment puis-je vous servir?,Come posso aiutarti?,,,,,Чем я могу служить вам?,何をいたしましょうか？,我能为你提供什么服务？,,,Size nasıl hizmet edebilirim?,,,
dialogue_traderSplit1a,What are the latest news?,,Quelles sont les dernières nouvelles?,Quali sono le utime notizie?,,,,,Какие последние новости?,最近のニュースは？,有什么最新消息？,,,En son haberler neler?,,,
dialogue_traderSplit1b,Please show me your offers.,,Je souhaite commercer,Vorrei fare degli acquisti,,,,,Я хочу торговать,取引したい,请展示你的报价。,,,Ticaret yapmak istiyorum,,,
dialogue_traderSplit2,Special offers are always to be expected!,,Des offres spéciales sont toujours à prévoir!,Le offerte speciali sono sempre dietro l'angolo!,,,,,Всегда стоит ожидать специальных предложений!,特別なオファーには必ず期待が持てます!,特价优惠总是值得期待的！,,,Özel teklifler her zaman beklenir!,,,
dialogue_traderSplit2a,Very nice!,,Super!,Molto Bene!,,,,,Очень хорошо!,ベリーナイス！,非常好！,,,Çok iyi!,,,
dialogue_traderSplit2b,Bye.,,Au revoir.,Saluti!,,,,,До свидания.,Bye.,再见。,,,Hoşçakal.,,,
dialogue_tiKCG,Salvage And Survival Handy Assistant (SASHA),,,,,,,,,,打捞与生存便捷助手（SASHA）,,,,,,
dialogue_1GSKm,Begin,,,,,,,,,,开始,,,,,,
dialogue_qKiSW,Salvage And Survival Handy Assistant (SASHA),,,,,,,,,,打捞与生存便捷助手（SASHA）,,,,,,
dialogue_eeOiK,"Learning to defend yourself from <color=#ff0000>hostile creatures</color> will keep you alive longer.\n\n@w2 Your <color=#ffc800>Survival Tool</color> has a <color=#59ff00>defense </color>mode which is useful for defending yourself against <color=#ff0000>hostile creatures</color> when you have no other <color=#59ff00>weapons</color>.\n\n@p9 Open your Inventory, Craft and Equip a <color=#ffc800>Survival Tool</color>.\n@w2 Once you have your <color=#ffc800>Survival Tool</color> equipped, use it to defeat a <color=#ff0000>Creature</color>.",,,,,,,,,,学会防御<color=#ff0000>敌对生物</color>可以让你活得更久。\n\n@w2 你的<color=#ffc800>生存工具</color>有一个<color=#59ff00>防御</color>模式，当你没有其他<color=#59ff00>武器</color>时，可以用来防御<color=#ff0000>敌对生物</color>。\n\n@p9 打开你的物品栏，制作并装备一个<color=#ffc800>生存工具</color>。\n@w2 一旦你装备了<color=#ffc800>生存工具</color>，用它击败一个<color=#ff0000>生物</color>。,,,,,,
dialogue_CSWO4,Got It!,,,,,,,,,,明白了！,,,,,,
dialogue_uOqeG,Salvage And Survival Handy Assistant (SASHA),,,,,,,,,,打捞与生存便捷助手（SASHA）,,,,,,
