KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
ttwBACV,[c][7dffff]Large Devices (BA/CV)[-][/c],,,,,,,,,,[c][7dffff]大型设备（BA/CV）[-][/c],,,,,,
ttwengineering,[c][FFC400]Engineering[-][/c],,,,,,,,,,[c][FFC400]工程[-][/c],,,,,,
ttwHVSV,[c][7dffff]Small Devices (HV/SV)[-][/c],,,,,,,,,,[c][7dffff]小型设备（HV/SV）[-][/c],,,,,,
ttwmedical,[c][5E9CFF]Medical[-][/c],,,,,,,,,,[c][5E9CFF]医疗[-][/c],,,,,,
ttwbasic,[c][ffffff]Basic Survival[-][/c],,,,,,,,,,[c][ffffff]基础生存[-][/c],,,,,,
ttwshipcom,[c][24FF45]Vehicle Combat[-][/c],,,,,,,,,,[c][24FF45]载具战斗[-][/c],,,,,,
ttwsalvage,[c][BB875A]Salvaging[-][/c],,,,,,,,,,[c][BB875A]回收[-][/c],,,,,,
ttwresources,[c][FFC400]Resource Gathering[-][/c],,,,,,,,,,[c][FFC400]资源采集[-][/c],,,,,,
ttwexploration,[c][DC0096]Exploration[-][/c],,,,,,,,,,[c][DC0096]探索[-][/c],,,,,,
ttwexperimental,[c][FFC400]Experimental Technology[-][/c],,,,,,,,,,[c][FFC400]实验技术[-][/c],,,,,,
ttwcombat,[c][24FF45]Personal Combat[-][/c],,,,,,,,,,[c][24FF45]个人战斗[-][/c],,,,,,
zStarshipGraveyard,Starship Graveyard,,,,,,,,,,星舰坟场,,,,,,
EngineeringTool,Combat Drill,,,,,,,,,,战斗钻头,,,,,,
bkiEngineeringTool,A powerful Drill with an additional Assault mode used for attacking enemy ground troops and breaching structures.,,,,,,,,,,一把强大的钻头，带有额外的突击模式，用于攻击敌方地面部队和突破建筑。,,,,,,
ComSpec,Combat Specialization,,,,,,,,,,战斗专精,,,,,,
bkiComSpec,Unlocks the ability to craft light arms as well as ship weapons and turrets.,,,,,,,,,,解锁制作轻武器以及飞船武器和炮塔的能力。,,,,,,
EngSpec,Engineering Specialization,,,,,,,,,,工程专精,,,,,,
bkiEngSpec,"Unlocks the ability to craft resource gathering tools and equipment, multitools, as well as thrusters and other high-tech devices for ships and structures.",,,,,,,,,,解锁制作资源采集工具和设备、多功能工具，以及用于飞船和建筑的推进器和其他高科技设备的能力。,,,,,,
ExpSpec,Exploration Specialization,,,,,,,,,,探索专精,,,,,,
bkiExpSpec,"Unlocks the ability to craft devices that can aid in exploration, as well as small vessel devices for light scout ships.",,,,,,,,,,解锁制作有助于探索的设备以及用于轻型侦察飞船的小型飞船设备的能力。,,,,,,
MedSpec,Medical Specialization,,,,,,,,,,医疗专精,,,,,,
bkiMedSpec,Unlocks the ability to craft advanced medicines and medical devices.,,,,,,,,,,解锁制作先进药物和医疗设备的能力。,,,,,,
DetectorCV,Detector (Capital Vessel),,,,,,,,,,探测器（主力舰）,,,,,,
DetectorHVT1,Detector (Hover Vessel),,,,,,,,,,探测器（悬浮飞船）,,,,,,
DetectorSVT1,Detector (Small Vessel),,,,,,,,,,探测器（小型飞船）,,,,,,
CPUExtenderBAT4,Base CPU Extender T4,,,,,,,,,,基地CPU扩展器T4,,,,,,
CPUExtenderBAT3,Base CPU Extender T3,,,,,,,,,,基地CPU扩展器T3,,,,,,
CPUExtenderBAT2,Base CPU Extender T2,,,,,,,,,,基地CPU扩展器T2,,,,,,
CPUExtenderCVT4,Capital Vessel CPU Extender T4,,,,,,,,,,主力舰CPU扩展器T4,,,,,,
CPUExtenderCVT3,Capital Vessel CPU Extender T3,,,,,,,,,,主力舰CPU扩展器T3,,,,,,
CPUExtenderCVT2,Capital Vessel CPU Extender T2,,,,,,,,,,主力舰CPU扩展器T2,,,,,,
CPUExtenderSVT4,Small Vessel CPU Extender T4,,,,,,,,,,小型飞船CPU扩展器T4,,,,,,
CPUExtenderSVT3,Small Vessel CPU Extender T3,,,,,,,,,,小型飞船CPU扩展器T3,,,,,,
