KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
bkiHullLargeBlocks,"Basic structure building block for [c][ffffff]Bases (BA) [-][/c][c][a9d0f5]and [c][ffffff]Capital Vessels (CV)[c][a9d0f5].\n\nChoose shapes: Add to toolbar & select, press [c][00ff00][RMB][-][/c][c][a9d0f5]",,,,,,,,,,用于建造[c][ffffff]基地（BA）[-][/c][c][a9d0f5]和[c][ffffff]主力舰（CV）[c][a9d0f5]的基础结构建筑方块。\n\n选择形状：添加到工具栏并选择，按[c][00ff00][RMB][-][/c][c][a9d0f5],,,,,,
bkiHullSmallBlocks,"Basic structure building block for [c][ffffff]Hover Vessels (HV) [-][/c][c][a9d0f5]and [c][ffffff]Small Vessels (SV)[c][a9d0f5].\n\nChoose shapes: Add to toolbar & select, press [c][00ff00][RMB][-][/c][c][a9d0f5]",,,,,,,,,,用于建造[c][ffffff]悬浮飞船（HV）[-][/c][c][a9d0f5]和[c][ffffff]小型飞船（SV）[c][a9d0f5]的基础结构建筑方块。\n\n选择形状：添加到工具栏并选择，按[c][00ff00][RMB][-][/c][c][a9d0f5],,,,,,
itmEVABoost,"Allows to [c][ffffff]withstand the cold of space[-][/c][c][a9d0f5], but it will reduce bullet protection.\n\n\nTo equip, use an [c][ffffff]Armor Locker[-][/c][c][a9d0f5].\n\n[i](Undressing Armorr will keep the boosters equipped to it.)[/i]",,,,,,,,,,允许[c][ffffff]抵御太空严寒[-][/c][c][a9d0f5]，但会降低子弹防护能力。\n\n\n要装备，请使用[c][ffffff]护甲柜[-][/c][c][a9d0f5]。\n\n[i](脱去护甲将保留其上装备的增强器。)[/i],,,,,,
itmMobilityBoost,"[c][ffffff]Increases the wearer's agility[-][/c][c][a9d0f5] by mechanical assists and electric muscle stimulation.\nWill make you hungry.\n\n\nTo equip, use an [c][ffffff]Armor Locker[-][/c][c][a9d0f5].\n\n[i](Undressing Armorr will keep the boosters equipped to it.)[/i]",,,,,,,,,,[c][ffffff]通过机械辅助和电肌肉刺激提高穿戴者的敏捷性[-][/c][c][a9d0f5]。\n会让你感到饥饿。\n\n\n要装备，请使用[c][ffffff]护甲柜[-][/c][c][a9d0f5]。\n\n[i](脱去护甲将保留其上装备的增强器。)[/i],,,,,,
bkiArmorBoost,"[c][ffffff]Supercharges the armor's forcefield[-][/c][c][a9d0f5] with the drawback of making it difficult to move in it.\nWill make you hungry.\n\n\nTo equip, use an [c][ffffff]Armor Locker[-][/c][c][a9d0f5].\n\n[i](Undressing Armorr will keep the boosters equipped to it.)[/i]",,,,,,,,,,[c][ffffff]超充能护甲力场[-][/c][c][a9d0f5]，但缺点是在其中移动困难。\n会使你感到饥饿。\n\n\n要装备，请使用[c][ffffff]护甲储物柜[-][/c][c][a9d0f5]。\n\n[i](脱去护甲将保留其装备的增强器。)[/i],,,,,,
Core,- Core -,,,,,,,,,,- 核心 -,,,,,,
bkiCore,Sets ownership of a structure.\n\nAllows access of devices by Control panel [c][00ff00][P][-][/c][c][a9d0f5].\n\nEnables Multitool to gain full blocks with Retrieve block mode,,,,,,,,,,设置结构的所有权。\n\n允许通过控制面板访问设备[c][00ff00][P][-][/c][c][a9d0f5]。\n\n使多功能工具能够以“获取方块”模式获取完整方块,,,,,,
bkiCorePlayer,Sets [b]ownership[/b] of a structure.\n(Place a Core to claim)\n\n[i]Allows access of devices by Control panel [c][00ff00][P][-][/c][c][a9d0f5].\n\nEnables Multitool to gain full blocks with 'Retrieve block' mode[/i],,,,,,,,,,设置结构的[b]所有权[/b]。\n（放置核心来认领）\n\n[i]允许通过控制面板访问设备[c][00ff00][P][-][/c][c][a9d0f5]。\n\n使多功能工具能够以“获取方块”模式获取完整方块[/i],,,,,,
igmBlockWrongFaction_OFF,[c][ffffff]Vagrant protection active[-][/c]\n[i](Destroy 'Core' block to access)[/i],,,,,,,,,,[c][ffffff]流浪者保护激活[-][/c]\n[i](摧毁“核心”方块以进入)[/i],,,,,,
igmCannotChangeStructure,Structure protected by �[c][ffffff]Core[-][/c]� block. Remove that first.,,,,,,,,,,结构由“[c][ffffff]核心[-][/c]”方块保护。请先移除该方块。,,,,,,
