KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_88uUCgW,WnOp -on- [c][80ffff]CalSig1a & CAL1a[-][/c][c][0080ff] SubCh[-][/c]: InvOpen -[c][ffffff] Inventory[-][/c] use,,,,,,,,,,WnOp -on- [c][80ffff]CalSig1a & CAL1a[-][/c][c][0080ff] SubCh[-][/c]: 打开背包 -[c][ffffff]背包[-][/c] 使用,,,,,,
pda_SGmu8GO,[c][ff80ff]Off[-][/c] Found [c][ffffff]Iron  [c][ff80ff]OnBy[-][/c][-][/c],,,,,,,,,,[c][ff80ff]Off[-][/c] 找到[c][ffffff]铁 [c][ff80ff]OnBy[-][/c][-][/c],,,,,,
pda_CSaq8uq,Found Iron,,,,,,,,,,发现铁,,,,,,
pda_uaKO8im,(Message),,,,,,,,,,（消息）,,,,,,
pda_CG0KaaC,--,,,,,,,,,,--,,,,,,
pda_aqSWO4u,itmPck -on- Found [u][b][c][ffffff]Carbon[-][/c][/b][/u] [b][c][ff8000][i](OffBy: DirectUnlockPC) [/i][c][ff8080]>C_off >C_rw[-][/c][-][/c][/b] [c][ff8000]>C_offx2[-][/c],,,,,,,,,,物品包 - 已激活 - 找到 [u][b][c][ffffff]碳[-][/c][/b][/u]  [b][c][ff8000][i](OffBy: DirectUnlockPC) [/i][c][ff8080]>C_off >C_rw[-][/c][-][/c][/b] [c][ff8000]>C_offx2[-][/c],,,,,,
pda_WuKeq2O,...,,,,,,,,,,...,,,,,,
pda_mqOSO8S,...,,,,,,,,,,...,,,,,,
pda_CqeQKCm,--,,,,,,,,,,--,,,,,,
pda_u8oSaCG,Better food.,,,,,,,,,,更好的食物。,,,,,,
pda_KWYO8eO,Craft [c][ffff00]Energy Bar[-][/c]\nin [c][ffffff]SuitConstructor[-][/c]\n[i](Click on pic at right side)[c][ffffff][-][/c][/i],,,,,,,,,,制造[c][ffff00]能量棒[-][/c]\n在[c][ffffff]套装建造机[-][/c]\n[i]（点击右侧图片）[c][ffffff][-][/c][/i],,,,,,
pda_OmCiOaO,--,,,,,,,,,,--,,,,,,
pda_qmwKS84,[c][ffffff]Eat raw [-][/c]food - Illness warning,,,,,,,,,,[c][ffffff]食用[-][/c]生食 - 疾病警告,,,,,,
pda_Cm8ioUK,Raw Food,,,,,,,,,,生食,,,,,,
pda_uCZiWWi,"[i](It tastes [b]horrible[/b], and this is an alien world.[/i]\n[i][c][ffffff]- Eating things raw [-][/c]might result in trouble... )[/i]",,,,,,,,,,[i]（它尝起来[b]很糟糕[/b]，这是一个外星世界。[/i]\n[i][c][ffffff]- 食用生食[-][/c]可能会导致麻烦... )[/i],,,,,,
pda_q8CCi80,itmC- [c][ffffff]Craft Bandage[-][/c] -  Mitigation hint,,,,,,,,,,itmC- [c][ffffff]制造绷带[-][/c] - 缓解提示,,,,,,
pda_aseScWQ,Crafted Bandages,,,,,,,,,,制造绷带,,,,,,
pda_qmi0WCO,Crafted: [c][ffffff]Bandage[-][/c].\n\nThey [c][ffffff]heal [-][/c]you up and will [c][ffffff]lessen the effects[-][/c] of a leg fracture.\n... To prevent it from getting[i] worse![/i],,,,,,,,,,制造：[c][ffffff]绷带[-][/c]。\n\n它们[c][ffffff]治愈[-][/c]您并会[c][ffffff]减轻[-][/c]腿部骨折的效果。\n... 为了防止它[i]恶化！[/i],,,,,,
pda_uYeOq80,A warning,,,,,,,,,,一个警告,,,,,,
pda_WKGqmuC,--,,,,,,,,,,--,,,,,,
pda_CW2uLi8,"[i]< Make sure to [c][ffffff]clear the output field[-][/c], else other crafts might have to wait. >[/i]\n\n--\nYou can [c][ffffff]eat [-][/c]with [c][00ff00][Shift + RMB][-][/c].",,,,,,,,,,[i]< 确保[c][ffffff]清空输出字段[-][/c]，否则其他制造可能需要等待。 >[/i]\n\n--\n您可以使用[c][00ff00][Shift + RMB][-][/c]进行[c][ffffff]食用[-][/c]。,,,,,,
pda_CqOeCj4,____[c][ffff00]Autotriggers for [b]resources[/b][-][/c][b][/b](Priming Awareness) ______,,,,,,,,,,____[c][ffff00]资源[b]自动触发器[/b][-][/c][b][/b]（意识唤醒）______,,,,,,
pda_4eOuuWC,...,,,,,,,,,,...,,,,,,
pda_CSua4m4,...,,,,,,,,,,...,,,,,,
pda_8u08fC0,--,,,,,,,,,,--,,,,,,
pda_qmWJSCq,____[c][ffff00]General warnings[-][/c] & info______,,,,,,,,,,____[c][ffff00]一般警告[-][/c] & 信息______,,,,,,
pda_eu8O0Im,...,,,,,,,,,,...,,,,,,
pda_eOe0KWK,...,,,,,,,,,,...,,,,,,
pda_KO1GS0S,--,,,,,,,,,,--,,,,,,
pda_4WWeeiO,____[c][ffff00]BIOME Position triggers[-][/c]______ & stuff,,,,,,,,,,____[c][ffff00]生物群落位置触发器[-][/c]______ & 其他东西,,,,,,
pda_WuCCuea,...,,,,,,,,,,...,,,,,,
pda_qe4iOuO,...,,,,,,,,,,...,,,,,,
pda_qiaGOq4,--,,,,,,,,,,--,,,,,,
pda_0CmW44e,____'[c][ffff00]Crafting related triggers[-][/c] (PC Interface & warnings)______,,,,,,,,,,____'[c][ffff00]制造相关触发器[-][/c]（PC界面 & 警告）______,,,,,,
pda_u8quc0m,...,,,,,,,,,,...,,,,,,
pda_4WauuCq,...,,,,,,,,,,...,,,,,,
pda_wguSCSS,--,,,,,,,,,,--,,,,,,
pda_K0iOmG4,Found [c][ffffff]Silicon[-][/c],,,,,,,,,,发现[c][ffffff]硅[-][/c],,,,,,
pda_p8SWCGW,Found [c][ffffff]Copper [c][ff80ff][i][c][ff8000](OffBy: CuDrone) [-][/c][/i][-][/c][-][/c][c][ff80ff][i](OffBy: DetectCopRes) [/i][-][/c],,,,,,,,,,发现[c][ffffff]铜 [c][ff80ff][i](OffBy: 铜无人机) [/i][-][/c][-][/c][c][ff80ff][i](OffBy: 探测铜资源) [/i][-][/c],,,,,,
pda_88eGkeC,Crafted Energy Bars,,,,,,,,,,制造能量棒,,,,,,
pda_mWKeW68,...,,,,,,,,,,...,,,,,,
pda_OaGeeSm,--,,,,,,,,,,--,,,,,,
pda_lSiC0mY,[c][ff80ff]Off [-][/c]Found [c][ffffff]PlantFiber[-][/c] & hand harvest hint,,,,,,,,,,[c][ff80ff]Off [-][/c]发现[c][ffffff]植物纤维[-][/c] & 手工收割提示,,,,,,
pda_mGOmOQ0,Open Inventory [c][00ff00][Tab][-][/c],,,,,,,,,,打开[c][00ff00][Tab][-][/c]背包,,,,,,
pda_SuGiiSO,----,,,,,,,,,,----,,,,,,
pda_alWSWKC,"[u][c][ffffff]Survival [-][/c](Suit) [c][ffffff]Constructor[-][/c][/u]\n\nTo craft, click on the [c][ffff00]picture of the Energy Bar[-][/c]. >>",,,,,,,,,,[u][c][ffffff]生存 [-][/c]（套装）[c][ffffff]建造机[-][/c][/u]\n\n要制造，点击[c][ffff00]能量条的图片[-][/c]。 >>,,,,,,
pda_iSK48aR,Found [c][ffffff]CrushedStones[-][/c][c][ffff00][-][/c][c][ff8000][i](OffByT: OreProcessor)[/i][-][/c],,,,,,,,,,发现[c][ffffff]粉碎石[-][/c][c][ffff00][-][/c][c][ff8000][i](OffByT: 矿石处理器)[/i][-][/c],,,,,,
pda_SeKiAuu,Found Crushed Stone,,,,,,,,,,发现粉碎石,,,,,,
pda_De4e0Ki,--,,,,,,,,,,--,,,,,,
pda_WuGiiuQ,--,,,,,,,,,,--,,,,,,
pda_OeGw4uO,[c][0080ff](nPOI)[-][/c] - rw-[c][ff8080]N[-][/c] - [c][ffffff]Techtree[-][/c] &SurvC [c][ff8080][i](OnBy:[/i][i] Carbon) (RwBy: Tasks2) (OffBy: DirectUnlock) [/i][-][/c][c][ff8000]>C_Off >C_On[-][/c],,,,,,,,,,[c][0080ff](nPOI)[-][/c] - rw-[c][ff8080]N[-][/c] - [c][ffffff]科技树[-][/c] & 生存指南 [c][ff8080][i](OnBy:[/i][i] 碳) (RwBy: 任务2) (OffBy: 直接解锁) [/i][-][/c][c][ff8000]>C_Off >C_On[-][/c],,,,,,
