KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_88uUCgW,WnOp -on- [c][80ffff]CalSig1a & CAL1a[-][/c][c][0080ff] SubCh[-][/c]: InvOpen -[c][ffffff] Inventory[-][/c] use,,,,,,,,,,WnOp -on- [c][80ffff]CalSig1a & CAL1a[-][/c][c][0080ff] 子频道[-][/c]：物品栏打开 -[c][ffffff] 物品栏[-][/c] 使用,,,,,,
pda_SGmu8GO,[c][ff80ff]Off[-][/c] Found [c][ffffff]Iron  [c][ff80ff]OnBy[-][/c][-][/c],,,,,,,,,,[c][ff80ff]关闭[-][/c] 找到[c][ffffff]铁[c][ff80ff]开启原因[-][/c][-][/c],,,,,,
pda_CSaq8uq,Found Iron,,,,,,,,,,找到铁,,,,,,
pda_uaKO8im,(Message),,,,,,,,,,（消息）,,,,,,
pda_CG0KaaC,--,,,,,,,,,,--,,,,,,
pda_aqSWO4u,itmPck -on- Found [u][b][c][ffffff]Carbon[-][/c][/b][/u] [b][c][ff8000][i](OffBy: DirectUnlockPC) [/i][c][ff8080]>C_off >C_rw[-][/c][-][/c][/b] [c][ff8000]>C_offx2[-][/c],,,,,,,,,,itmPck -on- 找到[u][b][c][ffffff]碳[-][/c][/b][/u] [b][c][ff8000][i]（关闭原因：直接解锁PC） [/i][c][ff8080]>C_off >C_rw[-][/c][-][/c][/b] [c][ff8000]>C_offx2[-][/c],,,,,,
pda_WuKeq2O,...,,,,,,,,,,...,,,,,,
pda_mqOSO8S,...,,,,,,,,,,...,,,,,,
pda_CqeQKCm,--,,,,,,,,,,--,,,,,,
pda_u8oSaCG,Better food.,,,,,,,,,,更好的食物。,,,,,,
pda_KWYO8eO,Craft [c][ffff00]Energy Bar[-][/c]\nin [c][ffffff]SuitConstructor[-][/c]\n[i](Click on pic at right side)[c][ffffff][-][/c][/i],,,,,,,,,,在[c][ffffff]太空服制造器[-][/c]中\n制作[c][ffff00]能量棒[-][/c]\n[i]（点击右侧图片）[c][ffffff][-][/c][/i],,,,,,
pda_OmCiOaO,--,,,,,,,,,,--,,,,,,
pda_qmwKS84,[c][ffffff]Eat raw [-][/c]food - Illness warning,,,,,,,,,,[c][ffffff]生吃食物 - 疾病警告,,,,,,
pda_Cm8ioUK,Raw Food,,,,,,,,,,原始食物,,,,,,
pda_uCZiWWi,"[i](It tastes [b]horrible[/b], and this is an alien world.[/i]\n[i][c][ffffff]- Eating things raw [-][/c]might result in trouble... )[/i]",,,,,,,,,,[i]（味道[b]糟糕[/b]，而且这是外星世界。[/i]\n[i][c][ffffff]- 生吃食物[-][/c]可能会导致麻烦... )[/i],,,,,,
pda_q8CCi80,itmC- [c][ffffff]Craft Bandage[-][/c] -  Mitigation hint,,,,,,,,,,itmC- [c][ffffff]制作绷带[-][/c] - 缓解提示,,,,,,
pda_aseScWQ,Crafted Bandages,,,,,,,,,,已制作绷带,,,,,,
pda_qmi0WCO,Crafted: [c][ffffff]Bandage[-][/c].\n\nThey [c][ffffff]heal [-][/c]you up and will [c][ffffff]lessen the effects[-][/c] of a leg fracture.\n... To prevent it from getting[i] worse![/i],,,,,,,,,,已制作：[c][ffffff]绷带[-][/c]。\n\n它们能[c][ffffff]治愈[-][/c]你，并会[c][ffffff]减轻腿部骨折的影响[-][/c]。\n...以防止情况[i]恶化！[/i],,,,,,
pda_uYeOq80,A warning,,,,,,,,,,警告,,,,,,
pda_WKGqmuC,--,,,,,,,,,,--,,,,,,
pda_CW2uLi8,"[i]< Make sure to [c][ffffff]clear the output field[-][/c], else other crafts might have to wait. >[/i]\n\n--\nYou can [c][ffffff]eat [-][/c]with [c][00ff00][Shift + RMB][-][/c].",,,,,,,,,,[i]< 确保[c][ffffff]清空输出字段[-][/c]，否则其他制作可能会等待。 >[/i]\n\n--\n你可以[c][ffffff]用[c][00ff00][Shift + RMB][-][/c][-][/c]食用[c][ffffff]。,,,,,,
pda_CqOeCj4,____[c][ffff00]Autotriggers for [b]resources[/b][-][/c][b][/b](Priming Awareness) ______,,,,,,,,,,____[c][ffff00][b]资源[/b]的自动触发器[-][/c][b][/b]（警觉准备）______,,,,,,
pda_4eOuuWC,...,,,,,,,,,,...,,,,,,
pda_CSua4m4,...,,,,,,,,,,...,,,,,,
pda_8u08fC0,--,,,,,,,,,,--,,,,,,
pda_qmWJSCq,____[c][ffff00]General warnings[-][/c] & info______,,,,,,,,,,____[c][ffff00]一般警告及信息[-][/c]______,,,,,,
pda_eu8O0Im,...,,,,,,,,,,...,,,,,,
pda_eOe0KWK,...,,,,,,,,,,...,,,,,,
pda_KO1GS0S,--,,,,,,,,,,--,,,,,,
pda_4WWeeiO,____[c][ffff00]BIOME Position triggers[-][/c]______ & stuff,,,,,,,,,,____[c][ffff00]生物群系位置触发器[-][/c]______ 及相关内容,,,,,,
pda_WuCCuea,...,,,,,,,,,,...,,,,,,
pda_qe4iOuO,...,,,,,,,,,,...,,,,,,
pda_qiaGOq4,--,,,,,,,,,,--,,,,,,
pda_0CmW44e,____'[c][ffff00]Crafting related triggers[-][/c] (PC Interface & warnings)______,,,,,,,,,,____'[c][ffff00]制作相关触发器[-][/c] (电脑界面及警告)______,,,,,,
pda_u8quc0m,...,,,,,,,,,,...,,,,,,
